source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,t_source_str,symbol,instrument_number,market_category,open,ltp,ltp_spot,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,public_trades,public_volume,public_value_mn,spot_trades,spot_volume,spot_value_mn,t_source_unix,company_id,sector_id,t_source_utc,feed_timestamp_str,feed_timestamp_utc,t_source
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:18,1JANATAMF,787.0,A-MF,3.5,3.6,0.0,3.6,3.4,0.0,3.4,206.0,1573704.0,5.511,206.0,1573704.0,5.51,0.0,0.0,0.0,1789026738,236,14,2026-09-10T07:52:18+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:18+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:29,1STPRIMFMF,788.0,A-MF,22.0,22.1,0.0,22.5,22.0,0.0,21.7,417.0,359234.0,8.001,417.0,359234.0,8.0,0.0,0.0,0.0,1789026749,239,14,2026-09-10T07:52:29+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:29+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:29,AAMRANET,789.0,Z-EQ,18.3,18.1,0.0,18.4,18.0,0.0,17.9,241.0,158773.0,2.89,241.0,158773.0,2.89,0.0,0.0,0.0,1789026749,381,11,2026-09-10T07:52:29+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:29+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:48:24,AAMRATECH,790.0,Z-EQ,17.6,17.0,0.0,17.6,17.0,0.0,17.3,90.0,42502.0,0.728,90.0,42502.0,0.73,0.0,0.0,0.0,1789026504,312,11,2026-09-10T07:48:24+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:48:24+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:25,ABB1STMF,791.0,A-MF,3.6,3.7,0.0,3.7,3.6,0.0,3.6,149.0,934358.0,3.405,149.0,934358.0,3.41,0.0,0.0,0.0,1789026745,310,14,2026-09-10T07:52:25+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:25+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:01,ABBANK,792.0,Z-EQ,4.5,4.5,0.0,4.5,4.4,0.0,4.5,190.0,256745.0,1.135,190.0,256745.0,1.14,0.0,0.0,0.0,1789026721,1,1,2026-09-10T07:52:01+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:01+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:17,ACFL,793.0,A-EQ,22.7,22.0,0.0,23.0,21.6,0.0,22.3,55.0,41131.0,0.932,55.0,41131.0,0.93,0.0,0.0,0.0,1789026677,392,20,2026-09-10T07:51:17+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:17+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:52,ACI,794.0,A-EQ,186.2,186.5,0.0,188.8,186.2,0.0,186.2,95.0,3065.0,0.573,95.0,3065.0,0.57,0.0,0.0,0.0,1789026712,131,16,2026-09-10T07:51:52+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:52+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:03,ACIFORMULA,795.0,A-EQ,150.2,153.2,0.0,157.7,150.2,0.0,152.7,798.0,120400.0,18.732,798.0,120400.0,18.73,0.0,0.0,0.0,1789026723,132,16,2026-09-10T07:52:03+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:03+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:13,ACMELAB,796.0,A-EQ,78.0,77.5,0.0,78.0,77.3,0.0,77.5,283.0,64605.0,5.011,283.0,64605.0,5.01,0.0,0.0,0.0,1789026673,369,16,2026-09-10T07:51:13+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:13+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:32,ACMEPL,797.0,B-EQ,24.5,24.0,0.0,24.7,23.9,0.0,24.5,660.0,854982.0,20.663,660.0,854982.0,20.66,0.0,0.0,0.0,1789026752,10494,16,2026-09-10T07:52:32+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:32+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:37:21,ACTIVEFINE,798.0,Z-EQ,5.8,5.7,0.0,5.8,5.7,0.0,5.7,43.0,82972.0,0.476,43.0,82972.0,0.48,0.0,0.0,0.0,1789025841,133,16,2026-09-10T07:37:21+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:37:21+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:50:35,ADNTEL,799.0,A-EQ,58.5,58.2,0.0,59.0,58.0,0.0,58.4,262.0,64790.0,3.779,262.0,64790.0,3.78,0.0,0.0,0.0,1789026635,411,11,2026-09-10T07:50:35+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:50:35+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:49:34,ADVENT,800.0,Z-EQ,13.9,13.8,0.0,14.2,13.8,0.0,13.8,66.0,54571.0,0.758,66.0,54571.0,0.76,0.0,0.0,0.0,1789026574,387,16,2026-09-10T07:49:34+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:49:34+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:43:05,AFCAGRO,801.0,Z-EQ,6.5,6.4,0.0,6.6,6.2,0.0,6.5,63.0,44477.0,0.281,63.0,44477.0,0.28,0.0,0.0,0.0,1789026185,332,16,2026-09-10T07:43:05+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:43:05+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:17,AFTABAUTO,802.0,Z-EQ,26.7,26.7,0.0,26.9,26.5,0.0,26.5,66.0,11719.0,0.313,66.0,11719.0,0.31,0.0,0.0,0.0,1789026737,42,6,2026-09-10T07:52:17+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:17+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:21,AGNISYSL,803.0,B-EQ,29.9,29.2,0.0,30.4,29.2,0.0,30.0,384.0,339930.0,10.116,384.0,339930.0,10.12,0.0,0.0,0.0,1789026741,113,11,2026-09-10T07:52:21+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:21+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:50:50,AGRANINS,804.0,A-EQ,28.8,28.5,0.0,29.0,28.5,0.0,28.6,90.0,53244.0,1.528,90.0,53244.0,1.53,0.0,0.0,0.0,1789026650,188,10,2026-09-10T07:50:50+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:50:50+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:35,AIBL1STIMF,805.0,A-MF,5.8,6.1,0.0,6.2,5.8,0.0,5.8,592.0,4099438.0,24.772,592.0,4099438.0,24.77,0.0,0.0,0.0,1789026695,247,14,2026-09-10T07:51:35+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:35+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:50:42,AIL,806.0,Z-EQ,32.4,31.6,0.0,32.4,31.4,0.0,32.0,101.0,24971.0,0.79,101.0,24971.0,0.79,0.0,0.0,0.0,1789026642,386,20,2026-09-10T07:50:42+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:50:42+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:18,AL-HAJTEX,807.0,B-EQ,73.0,70.0,0.0,73.4,69.6,0.0,72.9,1114.0,235636.0,16.704,1114.0,235636.0,16.7,0.0,0.0,0.0,1789026738,161,20,2026-09-10T07:52:18+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:18+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:46:35,ALARABANK,808.0,Z-EQ,16.0,15.8,0.0,16.0,15.2,0.0,15.8,84.0,38971.0,0.606,84.0,38971.0,0.61,0.0,0.0,0.0,1789026395,13,1,2026-09-10T07:46:35+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:46:35+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:37,ALIF,809.0,Z-EQ,5.4,5.4,0.0,5.5,5.4,0.0,5.4,55.0,212116.0,1.148,55.0,212116.0,1.15,0.0,0.0,0.0,1789026697,402,20,2026-09-10T07:51:37+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:37+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:46:41,ALLTEX,810.0,Z-EQ,24.5,24.1,0.0,24.5,23.9,0.0,24.3,80.0,55637.0,1.343,80.0,55637.0,1.34,0.0,0.0,0.0,1789026401,162,20,2026-09-10T07:46:41+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:46:41+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:28,AMANFEED,811.0,A-EQ,32.1,31.3,0.0,32.6,31.2,0.0,32.1,569.0,308135.0,9.788,569.0,308135.0,9.79,0.0,0.0,0.0,1789026748,359,13,2026-09-10T07:52:28+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:28+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:16,AMBEEPHA,812.0,A-EQ,780.0,753.0,0.0,790.0,750.0,0.0,752.5,185.0,2075.0,1.563,185.0,2075.0,1.56,0.0,0.0,0.0,1789026736,134,16,2026-09-10T07:52:16+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:16+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:06,AMCL(PRAN),813.0,A-EQ,216.8,213.1,0.0,218.8,213.1,0.0,216.4,104.0,4078.0,0.878,104.0,4078.0,0.88,0.0,0.0,0.0,1789026666,86,8,2026-09-10T07:51:06+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:06+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:41,ANLIMAYARN,814.0,Z-EQ,28.6,27.5,0.0,28.6,26.2,0.0,27.0,108.0,28471.0,0.774,108.0,28471.0,0.77,0.0,0.0,0.0,1789026701,163,20,2026-09-10T07:51:41+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:41+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:20,ANWARGALV,815.0,A-EQ,107.4,110.3,0.0,113.4,106.3,0.0,106.5,2626.0,652242.0,72.334,2626.0,652242.0,72.33,0.0,0.0,0.0,1789026740,43,6,2026-09-10T07:52:20+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:20+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:34:45,AOL,816.0,Z-EQ,15.9,15.7,0.0,15.9,15.5,0.0,15.8,67.0,43623.0,0.685,67.0,43623.0,0.69,0.0,0.0,0.0,1789025685,471,9,2026-09-10T07:34:45+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:34:45+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:50:50,APEXFOODS,817.0,A-EQ,257.0,259.0,0.0,262.3,257.0,0.0,257.7,175.0,10543.0,2.736,175.0,10543.0,2.74,0.0,0.0,0.0,1789026650,87,8,2026-09-10T07:50:50+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:50:50+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:28,APEXFOOT,818.0,A-EQ,207.7,209.1,0.0,209.5,207.7,0.0,207.0,286.0,39962.0,8.33,286.0,39962.0,8.33,0.0,0.0,0.0,1789026748,155,18,2026-09-10T07:52:28+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:28+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:25,APEXSPINN,819.0,A-EQ,277.9,282.0,0.0,297.0,277.9,0.0,277.9,573.0,32356.0,9.263,573.0,32356.0,9.26,0.0,0.0,0.0,1789026745,164,20,2026-09-10T07:52:25+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:25+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:17,APEXTANRY,820.0,B-EQ,98.0,93.0,0.0,98.0,92.7,0.0,95.4,257.0,54020.0,5.108,257.0,54020.0,5.11,0.0,0.0,0.0,1789026737,156,18,2026-09-10T07:52:17+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:17+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:25,APOLOISPAT,821.0,Z-EQ,3.0,3.0,0.0,3.0,2.9,0.0,2.9,62.0,126371.0,0.371,62.0,126371.0,0.37,0.0,0.0,0.0,1789026745,320,6,2026-09-10T07:52:25+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:25+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:50:16,ARAMIT,822.0,A-EQ,191.6,184.0,0.0,191.6,184.0,0.0,187.2,95.0,2816.0,0.526,95.0,2816.0,0.53,0.0,0.0,0.0,1789026616,121,13,2026-09-10T07:50:16+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:50:16+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:10,ARAMITCEM,823.0,Z-EQ,11.3,11.3,0.0,11.8,11.1,0.0,11.3,27.0,11340.0,0.128,27.0,11340.0,0.13,0.0,0.0,0.0,1789026730,2,2,2026-09-10T07:52:10+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:10+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:15,ARGONDENIM,824.0,A-EQ,22.9,22.1,0.0,22.9,22.0,0.0,22.6,541.0,1238643.0,27.565,541.0,1238643.0,27.57,0.0,0.0,0.0,1789026735,304,20,2026-09-10T07:52:15+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:15+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:17,ASIAINS,825.0,A-EQ,41.7,41.7,0.0,42.5,41.4,0.0,41.8,262.0,143030.0,5.995,262.0,143030.0,6.0,0.0,0.0,0.0,1789026737,189,10,2026-09-10T07:52:17+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:17+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:08,ASIAPACINS,826.0,A-EQ,47.7,47.8,0.0,48.6,47.5,0.0,47.7,222.0,170164.0,8.149,222.0,170164.0,8.15,0.0,0.0,0.0,1789026668,190,10,2026-09-10T07:51:08+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:08+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:28,ASIATICLAB,5456.0,A-EQ,106.0,103.8,0.0,107.9,103.6,0.0,106.0,611.0,110007.0,11.68,611.0,110007.0,11.68,0.0,0.0,0.0,1789026748,10526,16,2026-09-10T07:52:28+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:28+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:39:44,ATLASBANG,828.0,Z-EQ,85.9,85.6,0.0,85.9,84.9,0.0,83.7,27.0,4753.0,0.405,27.0,4753.0,0.41,0.0,0.0,0.0,1789025984,44,6,2026-09-10T07:39:44+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:39:44+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:47:41,AZIZPIPES,829.0,Z-EQ,77.9,74.5,0.0,77.9,73.0,0.0,75.8,150.0,3170.0,0.237,150.0,3170.0,0.24,0.0,0.0,0.0,1789026461,45,6,2026-09-10T07:47:41+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:47:41+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:56,BANGAS,830.0,B-EQ,126.9,122.8,0.0,127.0,122.2,0.0,126.8,306.0,32192.0,4.024,306.0,32192.0,4.02,0.0,0.0,0.0,1789026716,88,8,2026-09-10T07:51:56+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:56+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:47:09,BANKASIA,831.0,A-EQ,16.9,16.8,0.0,16.9,16.7,0.0,16.8,195.0,233349.0,3.902,195.0,233349.0,3.9,0.0,0.0,0.0,1789026429,14,1,2026-09-10T07:47:09+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:47:09+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:51:53,BARKAPOWER,832.0,Z-EQ,10.1,10.2,0.0,10.2,9.9,0.0,10.0,157.0,234950.0,2.372,157.0,234950.0,2.37,0.0,0.0,0.0,1789026713,102,9,2026-09-10T07:51:53+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:51:53+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:34:12,BATASHOE,833.0,A-EQ,885.0,896.9,0.0,898.8,885.0,0.0,884.9,25.0,229.0,0.203,25.0,229.0,0.2,0.0,0.0,0.0,1789025652,157,18,2026-09-10T07:34:12+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:34:12+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:28,BATBC,834.0,A-EQ,229.8,227.0,0.0,230.8,226.0,0.0,229.8,1041.0,72479.0,16.539,1041.0,72479.0,16.54,0.0,0.0,0.0,1789026748,89,8,2026-09-10T07:52:28+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:28+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:42:53,BAYLEASING,835.0,Z-EQ,4.7,4.6,0.0,4.7,4.5,0.0,4.6,22.0,131945.0,0.61,22.0,131945.0,0.61,0.0,0.0,0.0,1789026173,65,7,2026-09-10T07:42:53+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:42:53+00:00
lankabd_watch,2026-09-10 07:52:42.199177+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,7b1ded36cedb4244bbdb32c2a323cd6de70adbebd09b8e2f69343c4c68195d26,200,383,2026-09-10 13:52:18,BBS,836.0,B-EQ,12.6,12.3,0.0,12.6,12.2,0.0,12.4,166.0,194948.0,2.424,166.0,194948.0,2.42,0.0,0.0,0.0,1789026738,327,6,2026-09-10T07:52:18+00:00,2026-09-10 13:52:32,2026-09-10T07:52:32+00:00,2026-09-10 07:52:18+00:00
